opencv-utils (0.0.2)                              - OpenCV Utilities
scvf (1.1.2)                                      - a framework that wraps opencv for our needs in FRC
numericvision (0.1.0)                             - Detects numeric displays in images using OpenCV
imagestoanimation (0.1.9)                         - Converts a series of images to an animation using OpenCV
pirahansiah (0.0.10)                              - Farshid PirahanSiah workshop computer vision OpenCV
rtsp (1.1.8)                                      - RTSP client wrapper around gstreamer/opencv
python-imageseach-drov0 (1.0.6)                   - A wrapper around openCv to perform image searching
pyimagevideo (1.0.1)                              - Demos of OpenCV, read/write videos, etc.
coat (0.6)                                        - Wrapper around ndarray and opencv for rapid prototyping
camera-fusion (0.0.8)                             - Multiple cameras calibration and fusion with OpenCV Python.
atx (1.2.0)                                       - Automation test library for android based on opencv
EasyVision (0.0.3)                                - Easy Computer Vision Library using OpenCV.
helper_functions (2.0.11)                         - A simple module of simple function, for opencv and python3
images2video (0.3)                                - Python images to video library using OpenCV
image-pyqt (0.0.2)                                - An Image Widget for display OpenCV Mat image
geo-rendering (1.1.0)                             - Rendering of images from a shapefile using OpenCV
hampy (1.4.1)                                     - Simple Hamming Marker Detection using OpenCV
yolo-rahul-sinha (0.0.1)                          - Yolo implementation on a given picture using Opencv
head-pose (0.0.4)                                 - Use opencv solvePnP to do head pose estimation
CamCalib-jpvolt (0.1.0)                           - Opencv based camera calibration lib for stereo vision
opencv_cffi (0.2.2)                               - A random subset of OpenCV's functionality, wrapped via CFFI
Tippy (0.1)                                       - another Toolbox for Image Processing in PYthon, based on OpenCV
cv2module (0.1.2)                                 - A package that provides various functions to assist the OpenCV workflow
qandaomr (1.2.3.post1)                            - Q&A Python and OpenCV OMR (optical mark recognition)
bayesian-sgm (1.0.0)                              - Um segmentador de cores bayesiano para a OpenCV.
nionswift-video-capture (0.1.0)                   - Capture video from built-in camera using OpenCV.
opencvutils (0.9.4)                               - Simple OpenCV 3.x image processing functions
Willow (1.3)                                      - A Python image library that sits on top of Pillow, Wand and OpenCV
athentoimaging (0.1)                              - Image cleaning and OCR improvement package in Python using OpenCV.
facereg (0.2.1.2)                                 - Face recognition from identity cards with OpenCV and Deep Learning.
pyglview (1.1.10)                                 - Python OpenGL direct viewer instead of OpenCV imshow/waitKey.
image-mining (0.1.6)                              - Extract useful information from scanned images using OpenCV
zoloto (0.5.2)                                    - A fiducial marker system powered by OpenCV - Supports ArUco and April
pyvision3 (0.1.5)                                 - Facilitates computer vision research and prototyping using python and openCV
cvttf (0.0.1)                                     - Draw text on OpenCV images using TTF/OTF fonts
